2011 output area,All categories: General health,Very good health,Good health,Fair health,Bad health,Very bad health
E00056946,341,184,110,33,9,5
E00056947,335,167,112,45,10,1
E00056948,337,193,111,24,7,2
E00056949,167,72,58,30,5,2
E00056950,265,126,88,36,12,3
E00056951,274,122,102,39,11,0
E00056952,288,133,95,44,14,2
E00056953,260,112,97,42,5,4
E00056954,279,149,108,16,3,3
E00056955,312,159,103,37,11,2
E00056956,240,86,99,36,16,3
E00056957,280,157,88,23,11,1
E00056958,311,125,113,52,21,0
E00056959,181,94,61,24,2,0
E00056960,394,187,126,47,26,8
E00056961,323,182,97,29,13,2
E00056962,355,159,131,40,19,6
E00056963,384,211,117,45,8,3
E00056964,340,154,112,51,18,5
E00056965,296,105,98,65,19,9
E00056966,279,87,76,68,31,17
E00056967,239,118,77,35,8,1
E00056968,411,258,105,42,6,0
E00056969,242,129,86,18,7,2
E00056970,326,189,105,23,5,4
E00056971,215,97,78,31,7,2
E00056972,172,112,53,7,0,0
E00056973,231,161,56,10,4,0
E00056974,325,154,105,44,18,4
E00056975,355,176,95,61,18,5
E00056976,439,247,148,34,7,3
E00056977,238,159,55,16,7,1
E00056978,289,178,75,25,5,6
E00056979,344,198,95,40,8,3
E00056981,304,138,103,43,16,4
E00056982,336,157,100,52,14,13
E00056983,307,134,111,45,10,7
E00056984,264,85,89,57,27,6
E00056985,287,123,93,56,13,2
E00056986,312,151,95,44,12,10
E00056987,317,141,110,49,11,6
E00056988,337,121,109,56,32,19
E00056989,335,144,130,49,10,2
E00056990,255,112,80,42,18,3
E00056991,355,168,112,51,21,3
E00056992,363,147,142,51,13,10
E00056993,336,156,136,32,7,5
E00056994,324,122,132,54,13,3
E00056995,305,126,117,41,18,3
E00056997,262,127,87,36,8,4
E00056998,524,264,167,54,27,12
E00056999,291,145,108,32,6,0
E00057000,279,110,97,55,14,3
E00057001,365,171,130,45,15,4
E00057002,239,105,100,23,10,1
E00057003,310,144,111,37,14,4
E00057004,190,69,75,31,9,6
E00057005,195,64,68,44,16,3
E00057006,242,94,80,50,14,4
E00057007,273,104,98,57,11,3
E00057008,245,107,98,26,9,5
E00057009,327,148,113,52,12,2
E00057010,257,84,114,43,15,1
E00057011,430,206,158,43,19,4
E00057012,342,167,99,51,17,8
E00057013,139,60,53,15,10,1
E00057014,417,195,123,50,34,15
E00057015,257,95,108,33,13,8
E00057016,343,147,145,35,15,1
E00057017,309,149,102,49,6,3
E00057018,243,114,93,26,5,5
E00057019,304,115,129,41,15,4
E00057020,270,122,93,39,13,3
E00057021,289,133,108,34,11,3
E00057022,288,134,104,37,12,1
E00057023,312,127,118,49,17,1
E00057024,328,120,122,68,11,7
E00057025,305,146,120,30,8,1
E00057026,307,128,111,51,11,6
E00057027,390,187,120,53,25,5
E00057028,317,158,120,27,9,3
E00057029,376,194,124,43,11,4
E00057030,228,77,68,50,26,7
E00057031,298,140,104,39,12,3
E00057032,389,180,124,49,25,11
E00057033,211,73,65,35,33,5
E00057034,413,196,130,62,20,5
E00057035,355,164,137,37,13,4
E00057036,373,154,139,52,20,8
E00057037,333,149,120,46,16,2
E00057038,335,142,116,50,20,7
E00057039,260,97,88,48,20,7
E00057040,298,116,98,60,15,9
E00057041,300,127,121,41,10,1
E00057042,308,133,106,45,20,4
E00057043,291,128,90,52,14,7
E00057044,263,124,87,42,7,3
E00057045,292,132,108,37,11,4
E00057046,288,142,93,39,13,1
E00057047,292,128,114,31,15,4
E00057048,402,182,159,47,12,2
E00057049,395,187,134,42,25,7
E00057050,253,98,94,43,15,3
E00057051,456,240,167,35,8,6
E00057052,299,129,107,48,13,2
E00057053,228,97,67,41,22,1
E00057054,272,153,82,24,11,2
E00057055,304,152,75,56,16,5
E00057056,302,115,118,46,18,5
E00057057,250,119,96,31,4,0
E00057058,308,146,110,36,13,3
E00057059,241,97,89,39,14,2
E00057060,262,127,102,25,6,2
E00057062,335,175,101,42,8,9
E00057063,246,98,98,36,8,6
E00057064,279,128,93,41,15,2
E00057065,199,106,61,25,7,0
E00057066,328,105,108,72,31,12
E00057067,416,225,114,43,26,8
E00057068,254,108,85,44,14,3
E00057069,288,126,119,31,10,2
E00057070,257,111,94,33,15,4
E00057071,225,96,61,51,14,3
E00057072,192,91,60,29,11,1
