2011 output area,All categories: General health,Very good health,Good health,Fair health,Bad health,Very bad health
E00057604,254,111,77,35,23,8
E00057605,294,124,116,37,12,5
E00057606,235,81,73,54,21,6
E00057607,407,200,133,53,15,6
E00057608,378,172,122,63,15,6
E00057609,265,145,86,28,4,2
E00057610,237,81,104,40,12,0
E00057611,259,127,92,22,13,5
E00057612,321,163,103,37,14,4
E00057613,277,124,104,40,9,0
E00057614,286,96,132,39,13,6
E00057615,382,183,135,42,19,3
E00057616,315,158,99,47,8,3
E00057617,252,104,103,31,13,1
E00057618,265,144,82,22,10,7
E00057619,288,110,97,55,17,9
E00057620,361,151,156,40,12,2
E00057621,373,179,110,50,29,5
E00057622,299,136,112,40,8,3
E00057623,302,113,103,52,27,7
E00057624,237,105,76,41,14,1
E00057625,338,160,116,42,15,5
E00057626,296,119,126,37,10,4
E00057627,246,103,88,40,9,6
E00057628,327,197,107,19,4,0
E00057629,305,189,82,24,9,1
E00057630,477,290,141,33,10,3
E00057631,288,128,104,41,11,4
E00057632,315,183,91,24,12,5
E00057633,266,120,104,36,5,1
E00057634,342,222,101,16,3,0
E00057635,352,230,95,20,5,2
E00057637,438,278,126,30,3,1
E00057638,347,203,114,21,6,3
E00057639,446,260,123,47,15,1
E00057641,282,166,90,23,3,0
E00057642,419,216,139,48,15,1
E00057643,359,223,108,25,3,0
E00057645,483,299,150,29,3,2
E00057646,312,184,103,17,7,1
E00057647,263,153,91,16,3,0
E00057648,605,365,209,26,5,0
E00057649,446,271,131,36,4,4
E00057650,544,347,155,33,9,0
E00057651,405,253,118,27,5,2
E00057652,398,259,125,10,3,1
E00057653,312,177,106,21,7,1
E00057654,409,256,131,15,7,0
E00057655,365,213,104,36,11,1
E00057656,104,50,44,6,4,0
E00057657,362,217,119,22,3,1
E00057658,391,243,112,28,6,2
E00057659,356,218,111,21,5,1
E00057660,124,71,44,7,0,2
E00057661,560,373,148,27,12,0
E00057662,364,228,116,17,2,1
E00057663,426,254,149,15,4,4
E00057664,333,205,110,16,1,1
E00057665,294,166,112,14,0,2
E00057666,293,139,116,33,5,0
E00057667,168,65,51,30,17,5
E00057668,196,97,51,33,9,6
E00057669,294,139,135,16,4,0
E00057670,203,98,84,13,7,1
E00057671,180,90,49,26,12,3
E00057672,231,114,64,37,11,5
E00057673,369,208,120,31,8,2
E00057674,185,97,59,23,4,2
E00057675,223,92,68,33,19,11
E00057676,250,95,72,44,29,10
E00057679,225,127,78,17,3,0
E00057680,224,89,66,46,17,6
E00057681,461,237,158,49,13,4
E00057682,442,311,110,16,5,0
E00057683,195,121,52,14,6,2
E00057684,178,103,64,9,2,0
E00057685,174,88,49,26,10,1
E00057686,479,334,129,12,2,2
E00057687,196,141,47,5,1,2
E00057689,453,258,147,40,8,0
E00057690,390,236,124,28,1,1
E00057691,307,187,92,21,5,2
E00057692,350,211,116,20,3,0
E00057693,238,128,88,14,8,0
E00057695,269,177,77,12,3,0
E00057696,215,136,61,11,4,3
E00057697,255,155,80,12,6,2
E00057698,335,173,129,23,8,2
E00057699,252,165,65,15,6,1
E00057700,462,289,142,23,6,2
E00057701,254,151,77,17,9,0
E00057702,335,203,91,30,10,1
E00057703,463,291,134,27,8,3
E00057704,233,139,78,14,2,0
E00057705,344,171,103,41,20,9
E00057706,335,209,99,20,7,0
E00057707,262,153,74,15,15,5
E00057708,291,185,87,16,2,1
E00057709,359,207,113,32,6,1
E00057710,322,169,110,38,2,3
E00057711,342,186,111,39,6,0
E00057712,356,189,122,36,6,3
E00057713,297,147,115,31,3,1
E00057714,250,124,72,44,5,5
E00057715,265,141,89,32,3,0
E00057716,369,179,149,32,6,3
E00057717,291,129,100,44,16,2
E00057718,335,167,123,33,10,2
E00057719,308,154,101,40,8,5
E00057720,235,122,61,43,7,2
E00057721,297,166,98,28,2,3
E00057722,335,202,95,33,4,1
E00057723,376,225,114,29,8,0
E00057724,325,184,110,26,4,1
E00057725,290,151,92,34,11,2
E00057727,348,199,109,31,7,2
E00057728,275,148,90,25,9,3
E00057729,273,137,91,37,7,1
E00057730,242,138,82,17,4,1
E00057731,345,191,111,34,7,2
E00057732,405,233,102,56,10,4
E00057733,348,225,88,24,6,5
E00057734,337,175,112,37,8,5
E00057735,391,212,128,42,7,2
E00057736,249,124,78,41,5,1
E00057737,304,179,89,29,4,3
E00057738,538,287,194,48,7,2
E00057739,301,183,86,27,4,1
E00057740,310,153,101,46,10,0
E00057741,323,202,97,15,6,3
E00057742,336,205,89,28,11,3
E00057743,232,97,86,39,7,3
E00057744,288,165,100,17,5,1
E00057745,267,163,76,23,3,2
E00057746,244,112,71,41,16,4
E00057747,253,132,86,24,11,0
E00057748,311,144,111,43,9,4
E00057749,229,119,84,20,3,3
E00057750,362,246,81,28,6,1
E00057751,237,114,79,39,5,0
E00057752,264,96,99,47,21,1
E00057753,243,116,89,26,8,4
E00057754,261,141,84,27,7,2
E00057755,307,148,82,48,25,4
E00057756,275,162,84,24,5,0
E00057757,226,102,81,27,11,5
E00057758,344,161,117,28,28,10
E00057759,220,99,75,38,4,4
E00057760,246,100,67,47,23,9
E00057761,265,148,76,34,5,2
E00057762,312,164,95,37,10,6
E00057763,312,143,102,51,12,4
E00057764,340,162,126,38,8,6
E00057765,314,130,125,41,15,3
E00057766,260,122,110,23,5,0
E00057767,243,128,77,31,7,0
E00057768,299,125,104,43,14,13
E00057769,379,201,134,36,7,1
E00057770,268,119,81,48,15,5
E00057771,245,145,83,16,1,0
E00057772,214,62,65,63,17,7
E00057773,270,158,83,25,3,1
E00057774,233,127,76,26,2,2
E00057775,265,120,102,25,17,1
E00057776,273,115,83,42,26,7
E00057777,258,80,85,65,23,5
E00057778,265,117,87,42,17,2
E00057779,318,136,121,43,13,5
E00057780,284,139,75,52,13,5
E00057781,288,156,72,40,16,4
E00057782,352,172,127,36,13,4
E00057783,347,154,115,51,16,11
E00057784,327,145,114,47,17,4
E00057785,350,137,113,70,28,2
E00057786,307,115,107,54,23,8
E00057787,488,164,139,93,66,26
E00057788,309,131,94,58,24,2
E00057789,257,78,99,49,27,4
E00057790,191,97,74,14,5,1
E00057791,287,94,92,66,27,8
E00057792,281,118,119,34,7,3
E00057793,239,91,65,50,25,8
E00057794,215,75,48,58,24,10
E00057795,350,166,129,42,8,5
E00057796,189,83,59,38,6,3
E00057797,319,125,122,52,13,7
E00057798,327,125,113,53,26,10
E00057799,196,74,78,34,5,5
E00057800,281,91,78,72,27,13
E00057801,277,115,85,56,15,6
E00057802,192,77,58,27,22,8
E00057803,256,99,100,39,16,2
E00057804,285,134,86,49,13,3
E00057805,304,152,93,34,14,11
E00057806,372,149,132,62,19,10
E00057807,144,34,42,46,15,7
E00057808,362,187,101,38,29,7
E00057809,195,102,58,24,10,1
E00057810,352,167,122,44,18,1
E00057811,318,135,125,37,15,6
E00057812,255,119,81,36,15,4
E00057813,279,143,76,41,9,10
E00057814,344,142,120,56,21,5
E00057815,301,131,127,27,13,3
E00057816,309,138,108,37,22,4
E00057817,270,125,82,43,16,4
E00057818,230,88,85,41,13,3
E00057819,335,152,123,34,18,8
E00057820,242,99,72,38,24,9
E00057821,243,87,88,44,18,6
E00057822,309,143,95,45,20,6
E00057823,296,115,101,50,22,8
E00057824,293,113,99,48,28,5
E00057825,379,126,114,99,28,12
E00057826,215,113,83,14,4,1
E00057827,269,121,88,33,24,3
E00057828,276,101,118,28,19,10
E00057829,221,87,74,39,16,5
E00057830,187,62,57,43,17,8
E00057831,272,97,102,46,20,7
E00057832,329,152,117,35,19,6
E00057833,397,200,149,35,7,6
E00057834,308,125,92,67,20,4
E00057835,320,120,128,41,25,6
E00057838,302,151,101,38,10,2
E00057839,315,134,105,56,16,4
E00057840,300,149,90,32,22,7
E00057841,300,128,100,49,23,0
E00057842,266,158,77,22,7,2
E00057843,343,122,135,55,30,1
E00057844,316,123,128,49,12,4
E00057845,322,167,109,39,6,1
E00057846,298,146,106,37,6,3
E00057847,281,134,97,36,11,3
E00057848,290,166,92,27,4,1
E00057849,328,171,92,39,24,2
E00057850,245,139,74,25,7,0
E00057851,280,149,102,19,8,2
E00057852,379,201,144,27,6,1
E00057853,206,59,77,31,27,12
E00057854,349,188,102,34,19,6
E00057855,384,194,139,37,11,3
E00057856,259,101,85,58,13,2
E00057857,261,143,86,19,10,3
E00057858,269,135,92,31,7,4
E00057859,439,197,169,45,21,7
E00057860,325,154,100,46,21,4
E00057861,258,97,84,59,9,9
E00057862,325,148,97,51,23,6
E00057863,206,83,59,42,19,3
E00057864,343,165,108,47,19,4
E00057865,290,120,102,45,19,4
E00057866,340,154,99,53,27,7
E00057867,323,149,105,49,17,3
E00057868,235,116,82,27,6,4
E00057869,319,148,111,46,11,3
E00057871,294,155,99,29,8,3
E00057872,222,91,87,34,8,2
E00057873,263,136,92,31,4,0
E00057874,253,137,77,21,14,4
E00057875,361,150,110,66,25,10
E00057876,356,152,120,54,26,4
E00057877,217,93,76,38,8,2
E00057878,302,176,99,25,2,0
E00057879,348,191,107,33,15,2
E00057880,220,57,75,51,29,8
E00057881,281,148,100,25,6,2
E00057882,248,125,105,13,3,2
E00057883,283,157,86,33,5,2
E00057884,309,145,116,34,10,4
E00057885,348,173,129,34,8,4
E00057887,456,260,129,43,22,2
E00057888,155,54,45,37,18,1
E00057889,346,146,119,60,18,3
E00057891,407,239,134,27,4,3
E00057892,312,175,114,17,5,1
E00057893,299,148,104,31,14,2
E00057894,435,237,155,34,6,3
E00057895,194,78,73,34,8,1
E00057896,256,129,93,24,8,2
E00057897,274,119,102,41,12,0
E00057898,328,183,113,22,6,4
E00057899,295,155,91,37,12,0
E00057900,263,129,113,20,1,0
E00057901,236,120,82,25,6,3
E00057902,369,228,107,24,8,2
E00057903,308,129,115,40,18,6
E00057904,300,131,100,48,18,3
E00057905,318,142,105,58,9,4
E00057906,244,111,89,33,8,3
E00057907,290,124,104,44,13,5
E00057908,273,146,75,36,13,3
E00057909,320,129,111,52,20,8
E00057911,312,202,79,21,8,2
E00057913,279,124,101,40,13,1
E00057914,268,89,96,47,29,7
E00057916,277,102,99,42,25,9
E00057917,413,139,126,83,50,15
E00057918,258,132,93,29,4,0
E00057919,306,117,113,51,18,7
E00057920,333,152,123,37,14,7
E00057921,291,130,91,46,18,6
E00057922,206,89,68,33,13,3
E00057923,328,171,119,25,11,2
E00057924,304,129,107,51,14,3
E00057925,277,150,95,22,7,3
E00057926,318,114,111,63,25,5
E00057927,295,115,112,52,12,4
E00057928,302,120,128,30,18,6
E00057929,350,154,157,25,7,7
E00057932,307,106,121,58,15,7
E00057933,230,86,84,39,17,4
E00057934,292,100,120,47,20,5
E00057935,364,155,109,62,30,8
E00057936,297,134,105,38,17,3
E00057937,319,146,130,25,13,5
E00057938,305,113,101,51,33,7
E00057939,359,155,140,52,9,3
E00057940,352,237,94,17,2,2
E00057941,311,170,112,21,7,1
E00057942,278,120,96,38,19,5
E00057943,237,101,77,39,16,4
E00057944,301,145,111,35,8,2
E00057945,168,45,50,40,28,5
E00057946,362,171,117,55,12,7
E00057947,237,98,79,46,12,2
E00057949,241,89,98,34,15,5
E00057950,390,207,131,41,11,0
E00057951,356,187,97,44,19,9
E00057952,230,89,82,28,22,9
E00057955,279,136,101,28,11,3
E00057956,315,140,107,45,19,4
E00057957,308,187,91,23,5,2
E00057959,315,129,108,50,24,4
E00057960,410,192,150,49,17,2
E00057961,393,211,139,28,11,4
E00057962,302,160,104,28,6,4
E00057963,303,144,102,37,15,5
E00057965,399,206,138,39,13,3
E00057966,298,136,106,32,18,6
E00057967,217,64,89,43,16,5
E00057968,253,118,96,32,6,1
E00057969,274,166,76,25,5,2
E00057970,230,106,94,23,6,1
E00057971,292,148,89,35,18,2
E00057972,295,188,82,23,2,0
E00057973,339,173,123,32,9,2
E00057974,353,200,120,26,7,0
E00057975,368,228,97,33,6,4
E00057976,234,92,85,38,13,6
E00057977,284,112,108,47,13,4
E00057978,328,188,93,40,6,1
E00057979,301,116,92,67,19,7
E00057980,447,268,123,43,10,3
E00057981,222,97,78,29,17,1
E00057982,240,131,81,22,5,1
E00057983,248,133,76,28,11,0
E00057984,362,211,105,33,13,0
E00057985,383,173,145,46,15,4
E00057986,311,148,107,44,11,1
E00057987,285,130,111,27,11,6
E00057988,310,180,99,20,9,2
E00057989,345,176,112,41,12,4
E00057990,265,134,102,23,6,0
E00057991,262,132,98,25,5,2
E00057992,342,182,99,44,15,2
E00057993,251,91,104,36,18,2
E00057994,250,125,93,24,5,3
E00057995,218,112,68,29,6,3
E00057996,245,118,83,23,15,6
E00057997,337,150,121,51,11,4
E00057998,170,62,56,35,13,4
E00057999,252,141,76,23,10,2
E00058000,260,100,66,44,30,20
E00058001,372,212,114,34,7,5
E00058002,242,88,82,50,18,4
E00058003,233,118,71,34,7,3
E00058004,270,159,67,29,9,6
E00058005,268,130,92,36,8,2
E00058006,220,120,74,21,5,0
E00058007,318,191,88,28,6,5
E00058008,150,32,47,52,13,6
E00058009,340,182,115,33,9,1
E00058010,327,152,124,43,6,2
E00058011,289,138,85,44,17,5
E00058012,248,109,83,38,17,1
E00058013,377,218,115,32,9,3
E00058014,341,179,117,33,8,4
E00058015,269,98,94,54,20,3
E00058016,569,313,180,53,14,9
E00058017,329,169,112,34,13,1
E00058018,303,87,76,65,60,15
E00058019,258,110,84,47,13,4
E00058020,318,172,100,31,13,2
E00058021,379,236,102,33,7,1
E00058022,210,68,60,52,23,7
E00058023,408,210,134,46,14,4
E00058024,302,95,121,71,11,4
E00058025,267,127,74,45,13,8
E00058026,257,64,68,78,38,9
E00058027,349,158,113,58,14,6
E00058028,309,177,94,26,8,4
E00058029,180,75,58,34,12,1
E00058030,329,180,99,32,16,2
E00058031,279,149,89,29,9,3
E00058032,292,138,110,27,11,6
E00058033,358,142,152,51,12,1
E00058034,306,157,104,32,8,5
E00058036,340,158,122,43,15,2
E00058037,322,166,114,37,5,0
E00058038,281,122,86,40,28,5
E00058039,344,199,106,37,0,2
E00058040,269,98,88,51,22,10
E00058041,440,298,110,23,6,3
E00058042,546,221,190,91,38,6
E00058043,295,140,107,34,12,2
E00058044,320,147,132,34,6,1
E00058045,235,91,93,34,12,5
E00058047,257,110,93,37,14,3
E00058048,333,159,127,35,10,2
E00058049,263,132,80,36,13,2
E00058050,326,163,85,43,26,9
E00058051,266,134,91,30,8,3
E00058052,234,73,91,57,11,2
E00058053,321,158,118,35,10,0
E00058054,278,118,108,40,10,2
E00058055,338,148,117,55,15,3
E00058056,280,132,108,26,8,6
E00058057,331,172,112,35,12,0
E00058058,280,161,82,34,3,0
E00058059,360,207,108,35,7,3
E00058060,277,134,95,36,10,2
E00058061,293,96,138,46,11,2
E00058062,357,191,122,34,9,1
E00058063,274,136,97,31,8,2
E00058064,287,122,117,40,7,1
E00058065,138,43,47,36,11,1
E00058066,275,118,94,39,19,5
E00058067,275,123,84,51,12,5
E00058068,315,105,142,48,19,1
E00058069,330,178,120,27,4,1
E00058070,280,123,99,45,10,3
E00058071,301,170,96,29,5,1
E00058072,315,150,114,37,8,6
E00058073,441,198,165,61,12,5
E00058074,272,113,101,48,8,2
E00058075,385,184,136,45,15,5
E00058076,306,177,91,31,6,1
E00058077,308,146,118,36,8,0
E00058078,376,226,114,25,9,2
E00058079,313,206,85,15,5,2
E00058080,318,88,105,80,38,7
E00058081,308,172,91,33,10,2
E00058082,440,243,137,36,19,5
E00058083,263,120,98,34,10,1
E00058084,232,82,97,44,7,2
E00058086,345,160,136,40,8,1
E00058087,295,111,114,45,20,5
E00058088,280,110,102,46,21,1
E00058089,276,116,103,40,16,1
E00058090,391,183,145,46,13,4
E00058091,387,192,137,46,9,3
E00058092,246,125,79,36,5,1
E00058093,280,147,100,25,6,2
E00058094,312,145,124,25,15,3
E00058095,308,152,117,28,10,1
E00058096,319,167,107,31,10,4
E00058097,265,109,72,55,23,6
E00058098,324,147,121,38,10,8
E00058099,320,188,114,12,2,4
E00058100,280,146,96,29,8,1
E00058101,359,180,134,37,8,0
E00058102,301,136,112,36,11,6
E00058103,336,142,127,52,12,3
E00058104,280,121,101,39,13,6
E00058105,339,190,117,25,6,1
E00058106,273,145,85,29,13,1
E00058107,330,203,108,17,2,0
E00058108,254,99,107,33,11,4
E00058109,247,120,87,37,3,0
E00058110,330,155,111,48,10,6
E00058111,360,169,151,29,10,1
E00058112,356,138,140,56,18,4
E00058113,238,95,91,36,13,3
E00058114,238,118,94,22,3,1
E00058115,362,162,135,46,15,4
E00058116,192,67,59,46,15,5
E00058117,248,71,99,59,16,3
E00058118,315,125,103,63,19,5
E00058119,195,70,66,36,17,6
E00058120,292,143,113,23,10,3
E00058121,444,225,168,40,10,1
E00058122,253,77,105,44,23,4
E00058123,258,143,75,28,9,3
E00058124,138,39,44,35,13,7
E00058125,284,94,109,62,17,2
E00058126,277,130,99,36,7,5
E00058127,315,128,117,54,15,1
E00058128,373,220,114,32,6,1
E00058129,301,115,108,61,11,6
E00058130,393,233,128,25,5,2
E00058131,296,153,109,22,11,1
E00058132,447,240,156,38,13,0
E00058133,343,195,124,21,3,0
E00058134,258,87,92,61,15,3
E00058135,318,158,106,46,5,3
E00058136,322,194,97,23,8,0
E00058137,263,119,77,47,17,3
E00058138,312,154,109,33,11,5
E00058139,298,95,118,58,23,4
E00058140,282,138,100,34,9,1
E00058141,318,159,89,46,18,6
E00058142,330,153,110,46,17,4
E00058143,394,235,135,20,4,0
E00058144,314,144,109,45,13,3
E00058145,321,166,122,27,5,1
E00058146,299,167,93,30,9,0
E00058147,274,113,85,54,14,8
E00058148,291,131,110,34,11,5
E00058149,298,143,99,36,12,8
E00058150,304,132,119,44,8,1
E00058151,282,109,99,59,12,3
E00058152,325,128,104,61,24,8
E00058153,292,111,109,45,23,4
E00058154,322,130,128,45,14,5
E00058155,272,123,96,41,10,2
E00058156,360,233,92,28,7,0
E00058157,313,156,113,37,5,2
E00058158,306,135,117,35,17,2
E00058159,212,61,86,45,14,6
E00058160,310,161,93,48,6,2
E00058161,333,151,120,48,10,4
E00058162,261,126,86,40,8,1
E00058163,344,196,105,24,15,4
E00058164,360,186,125,40,9,0
E00058165,418,210,136,49,16,7
E00058166,252,105,90,37,18,2
E00058167,251,111,91,34,13,2
E00058168,294,146,103,35,8,2
E00058169,342,149,116,49,21,7
E00058170,265,133,104,15,9,4
E00058171,248,119,87,34,7,1
E00058172,406,240,127,29,8,2
E00058173,360,211,114,26,8,1
E00058174,248,92,84,51,13,8
E00058175,341,163,82,61,26,9
E00058177,258,107,98,33,15,5
E00058178,345,158,114,56,11,6
E00058179,295,179,101,11,4,0
E00058180,235,102,87,37,7,2
E00058181,307,132,99,41,29,6
E00058182,309,146,120,33,7,3
E00058183,301,140,108,40,10,3
E00058184,231,112,80,28,9,2
E00058185,245,120,80,25,16,4
E00058186,316,155,122,34,3,2
E00058187,311,130,118,48,12,3
E00058188,315,191,108,11,4,1
E00058189,229,67,76,55,25,6
E00058190,263,148,77,24,8,6
E00058191,368,195,126,35,8,4
E00058192,220,48,62,72,28,10
E00058193,300,148,117,24,9,2
E00058194,263,162,75,16,7,3
E00058195,244,93,97,40,12,2
E00058196,236,96,83,41,13,3
E00058197,209,92,78,26,9,4
E00058199,256,126,94,33,3,0
E00058200,344,162,121,47,10,4
E00058201,213,66,77,45,19,6
E00058202,277,137,98,35,6,1
E00058204,241,88,83,54,13,3
E00058205,553,307,164,61,17,4
E00058206,231,101,87,33,5,5
E00058207,343,143,126,50,24,0
E00058208,337,134,125,46,28,4
E00058209,306,130,116,42,17,1
E00058210,327,189,100,29,7,2
E00058211,257,112,75,42,21,7
E00058212,285,145,94,42,2,2
E00058213,258,98,78,51,24,7
E00058214,364,182,128,37,15,2
E00058215,332,167,102,40,16,7
E00058216,239,73,81,56,21,8
E00058217,279,132,99,36,10,2
E00058218,294,133,91,34,28,8
E00058219,294,115,106,50,17,6
E00058220,382,210,133,26,12,1
E00058221,255,125,85,31,13,1
E00058222,295,93,89,74,33,6
E00058223,357,207,114,30,5,1
E00058224,267,99,84,50,28,6
E00058225,536,304,169,43,16,4
E00058226,265,128,84,39,10,4
E00058227,243,108,78,38,9,10
E00058228,226,104,78,34,6,4
E00058229,309,180,81,31,13,4
E00058230,269,100,82,51,23,13
E00058231,254,120,81,31,16,6
E00058232,236,63,92,46,25,10
E00058233,356,147,129,58,19,3
E00058234,377,230,111,29,6,1
E00058235,246,108,91,36,10,1
E00058236,313,164,88,50,10,1
E00058237,301,172,95,27,7,0
E00058238,298,167,85,37,8,1
E00058239,287,127,104,41,14,1
E00058240,368,168,138,44,16,2
E00058241,296,129,115,43,8,1
E00058242,253,143,79,27,2,2
E00058243,236,91,98,34,9,4
E00058244,270,139,86,38,4,3
E00058245,231,112,66,38,13,2
E00058246,230,110,81,32,6,1
E00058247,224,92,80,39,11,2
E00058248,286,136,105,35,7,3
E00058249,264,145,75,36,5,3
E00058250,225,99,88,32,6,0
E00058251,277,154,96,19,4,4
E00058252,283,121,87,56,14,5
E00058253,305,156,96,35,12,6
E00058254,245,103,84,33,16,9
E00058255,323,146,94,50,29,4
E00058256,230,85,65,53,23,4
E00058257,228,94,88,27,15,4
E00058258,260,113,94,35,14,4
E00058259,250,129,92,24,5,0
E00058260,297,108,109,58,18,4
E00058261,268,126,78,40,17,7
E00058262,343,109,99,78,49,8
E00058263,227,53,85,50,31,8
E00058264,264,118,83,39,17,7
E00058265,284,119,101,31,25,8
E00058266,119,68,41,6,3,1
E00058267,308,161,104,33,10,0
E00058268,311,188,95,22,5,1
E00058269,292,144,105,33,7,3
E00058270,328,179,111,31,4,3
E00058271,223,105,83,28,5,2
E00058272,315,198,92,25,0,0
E00058273,192,55,82,43,9,3
E00058274,295,175,91,22,5,2
E00058275,340,193,105,26,12,4
E00058276,238,111,86,19,15,7
E00058277,194,62,63,57,11,1
E00058278,276,145,87,36,6,2
E00058279,310,167,93,32,11,7
E00058280,256,125,82,40,8,1
E00058281,236,89,90,44,7,6
E00058282,283,176,80,20,7,0
E00058283,307,152,109,35,11,0
E00058284,296,177,87,26,5,1
E00058285,145,74,52,17,2,0
E00058286,169,60,67,31,7,4
E00058287,446,253,153,30,8,2
E00058288,328,206,82,27,11,2
E00058289,283,161,88,26,7,1
E00058290,297,130,131,25,7,4
E00058291,237,113,80,37,5,2
E00058292,310,154,121,22,13,0
E00058293,316,162,107,38,7,2
E00058294,278,131,88,44,12,3
E00058295,329,154,129,34,7,5
E00058296,365,218,112,27,6,2
E00058297,350,197,119,26,7,1
E00058298,281,142,98,36,4,1
E00058299,330,176,99,38,14,3
E00058300,306,124,126,38,12,6
E00058301,241,91,97,43,8,2
E00058302,329,175,126,23,4,1
E00058303,299,143,108,34,12,2
E00058304,290,121,106,46,12,5
E00058305,230,109,70,37,8,6
E00058306,359,189,122,42,4,2
E00058307,263,153,78,21,8,3
E00058308,321,183,100,27,8,3
E00058309,297,139,106,44,6,2
E00058310,284,141,93,40,7,3
E00058311,292,148,99,34,10,1
E00058312,174,93,62,15,2,2
E00058313,331,179,106,39,6,1
E00058314,278,148,79,34,11,6
E00058315,285,136,96,38,13,2
E00058317,267,123,98,28,12,6
E00058318,237,125,85,20,7,0
E00058319,253,120,103,27,3,0
E00058320,279,169,85,18,4,3
E00058321,305,141,99,48,13,4
E00058322,266,142,78,32,10,4
E00058323,326,193,97,23,11,2
E00058325,293,154,94,39,4,2
E00058326,309,157,118,31,1,2
E00058327,430,272,97,44,11,6
E00058328,292,145,104,35,3,5
E00058329,269,125,97,37,5,5
E00058330,320,180,100,32,7,1
E00058331,329,198,95,32,1,3
E00058332,171,97,52,16,4,2
E00058333,311,163,98,39,9,2
E00058334,273,135,89,41,6,2
E00058335,228,92,70,45,19,2
E00058336,282,146,99,33,4,0
E00058337,301,144,93,45,17,2
E00058338,320,167,112,31,8,2
E00058339,275,139,102,25,8,1
E00058340,410,219,143,33,11,4
E00058341,267,133,88,40,5,1
E00058342,217,93,83,35,5,1
E00058343,249,143,84,17,4,1
E00058344,299,154,96,38,10,1
E00058345,279,132,87,43,13,4
E00058346,292,140,86,45,19,2
E00058347,296,175,88,24,6,3
E00058348,300,179,92,24,4,1
E00058349,242,110,86,36,10,0
E00058350,292,149,103,29,9,2
E00058351,304,125,74,94,9,2
E00058352,262,97,105,45,14,1
E00058353,242,100,66,56,16,4
E00058354,353,196,119,27,9,2
E00058355,247,139,86,16,6,0
E00058356,368,191,122,42,10,3
E00058357,260,92,110,40,12,6
E00058358,259,127,99,25,5,3
E00058359,266,121,105,26,12,2
E00058360,245,102,98,37,8,0
E00058361,293,156,90,36,4,7
E00058362,296,132,83,53,23,5
E00058363,269,123,91,35,16,4
E00058364,390,227,115,36,10,2
E00058365,309,163,111,24,11,0
E00058366,289,148,101,32,7,1
E00058367,322,168,107,37,6,4
E00058368,273,112,122,30,6,3
E00058369,368,196,105,58,8,1
E00058370,230,106,87,27,6,4
E00058371,330,170,106,38,13,3
E00058372,318,161,111,36,7,3
E00058373,274,141,85,35,8,5
E00058374,285,131,117,29,7,1
E00058375,281,142,101,30,5,3
E00058376,283,147,85,35,12,4
E00058377,169,39,63,48,14,5
E00058378,272,134,83,38,12,5
E00058379,197,56,75,44,19,3
E00058380,281,100,110,43,20,8
E00058381,302,165,100,29,6,2
E00058382,284,130,87,46,19,2
E00058383,577,388,152,24,12,1
E00058384,349,169,128,44,6,2
E00058385,252,112,98,31,9,2
E00058386,520,319,148,41,10,2
E00058387,319,168,105,30,12,4
E00058388,316,150,128,28,6,4
E00058389,327,141,95,59,26,6
E00058390,367,198,127,31,10,1
E00058391,385,174,147,48,10,6
E00058392,334,150,116,48,19,1
E00058393,241,71,86,56,19,9
E00058394,246,126,87,23,8,2
E00058395,362,198,117,35,10,2
E00058396,381,180,134,48,12,7
E00058397,395,170,145,57,18,5
E00058398,332,145,124,48,13,2
E00058399,373,159,147,50,14,3
E00058400,313,136,119,48,10,0
E00058401,351,139,125,61,20,6
E00058402,327,186,105,24,8,4
E00058403,254,139,78,28,9,0
E00058404,344,153,97,58,30,6
E00058405,268,134,89,37,6,2
E00058406,270,156,79,27,8,0
E00058407,458,281,151,20,3,3
E00058408,273,153,80,32,6,2
E00058409,318,152,117,34,13,2
E00058410,256,142,82,29,2,1
E00058411,309,153,99,45,8,4
E00058412,299,141,107,35,15,1
E00058413,285,116,108,45,12,4
E00058414,274,102,85,60,18,9
E00058415,351,152,119,54,23,3
E00058416,453,247,155,42,7,2
E00058417,277,139,104,24,9,1
E00058418,325,152,113,44,14,2
E00058419,307,169,99,33,5,1
E00058420,234,126,72,26,7,3
E00058421,300,144,84,41,30,1
E00058422,295,183,86,23,3,0
E00058423,300,154,107,31,7,1
E00058424,235,114,89,25,5,2
E00058425,200,92,73,28,6,1
E00058426,381,198,131,36,11,5
E00058427,333,152,127,46,7,1
E00058428,305,145,112,37,10,1
E00058429,291,155,79,40,10,7
E00058430,339,152,115,54,11,7
E00058431,266,122,99,37,8,0
E00058432,219,75,81,40,15,8
E00058433,280,127,97,44,10,2
E00058434,310,116,121,58,10,5
E00058435,282,151,98,24,7,2
E00058436,276,132,107,29,7,1
E00058437,226,123,59,35,7,2
E00058438,266,124,95,29,14,4
E00058439,221,111,70,20,17,3
E00058440,266,121,89,44,9,3
E00058441,343,174,98,49,13,9
E00058442,278,164,81,29,3,1
E00058443,282,175,61,34,10,2
E00058444,357,155,151,39,10,2
E00058445,319,166,109,36,5,3
E00058446,291,189,81,16,4,1
E00058447,376,176,136,53,10,1
E00058448,234,119,83,23,6,3
E00058449,373,216,118,30,7,2
E00058450,282,141,101,33,7,0
E00058451,260,152,88,9,8,3
E00058452,378,214,129,27,8,0
E00058453,389,222,118,32,14,3
E00058454,378,182,153,35,7,1
E00058455,304,151,114,34,3,2
